date,price,joules_per_coin,kwh_per_coin,Mining costs with C = 0.03 USD/kWh; PUE = 1.0,Mining costs with C = 0.05 USD/kWh; PUE = 1.1,Mining costs with C = 0.07 USD/kWh; PUE = 1.2,Price-cost price with C = 0.03 USD/kWh; PUE = 1.0,Price-cost price with C = 0.05 USD/kWh; PUE = 1.1,Price-cost price with C = 0.07 USD/kWh; PUE = 1.2
2022-11-30,20481.5549,1436617218923.244,399060.33858979,11971.810157693699,21948.318622438455,33521.06844154236,8509.7447423063,-1466.7637224384562,-13039.513541542361
2022-10-31,19305.1719,1190567310963.225,330713.1419342292,9921.394258026876,18189.222806382608,27779.903922475252,9383.777641973125,1115.9490936173934,-8474.732022475251
2022-09-30,20145.5884,1566738358733.4692,435205.0996481859,13056.152989445576,23936.280480650228,36557.228370447614,7089.435410554424,-3790.6920806502276,-16411.639970447613
2022-08-31,23311.592835340976,1165570941560.264,323769.7059889622,9713.091179668865,17807.333829392923,27196.65530307283,13598.501655672111,5504.2590059480535,-3885.062467731852
2022-07-31,19336.1044410867,1116799469777.8423,310222.07493828953,9306.662248148685,17062.214121605928,26058.654294816322,10029.442192938015,2273.8903194807717,-6722.549853729623
2022-06-30,29789.42113357093,1175211950914.608,326447.76414294663,9793.432924288398,17954.62702786207,27421.61218800752,19995.988209282532,11834.794105708861,2367.808945563411
2022-05-31,38467.094,1195775150433.4211,332159.7640092836,9964.792920278509,18268.7870205106,27901.420176779826,28502.30107972149,20198.306979489396,10565.673823220171
2022-04-30,46231.00475940512,1202614581504.7632,334059.60597354535,10021.78817920636,18373.278328544995,28061.00690177781,36209.21658019876,27857.726430860126,18169.99785762731
2022-03-31,44359.8712,1114204118993.923,309501.14416497864,9285.034324949358,17022.56292907383,25998.09610985821,35074.83687505064,27337.308270926173,18361.775090141793
2022-02-28,38761.9683,1039243357751.4434,288678.71048651205,8660.36131459536,15877.329076758166,24249.011680867014,30101.60698540464,22884.639223241837,14512.956619132987
2022-01-31,47544.4994,1052886140548.7164,292468.37237464346,8774.051171239304,16085.760480605393,24567.34327947005,38770.448228760695,31458.738919394607,22977.15612052995
2021-12-31,57173.0795,939748279380.5458,261041.18871681826,7831.235661504547,14357.265379425007,21927.459852212734,49341.84383849545,42815.81412057499,35245.619647787265
2021-11-30,61065.0310670206,863569856923.7028,239880.51581213967,7196.415474364189,13193.428369667683,20149.963328219736,53868.61559265641,47871.60269735292,40915.06773880086
2021-10-31,48080.37283833829,747440331660.3667,207622.31435010186,6228.669430503056,11419.227289255605,17440.274405408556,41851.70340783524,36661.145549082685,30640.098432929735
2021-09-30,48744.6322,710200262349.7029,197277.85065269526,5918.335519580857,10850.28178589824,16571.3394548264,42826.296680419146,37894.35041410176,32173.2927451736
2021-08-31,40120.70071620807,623838108189.7555,173288.3633860432,5198.650901581296,9530.859986232377,14556.222524427629,34922.04981462677,30589.840729975695,25564.478191780443
2021-07-31,33628.67,615817859452.7312,171060.51651464755,5131.815495439426,9408.328408305617,14369.083387230396,28496.85450456057,24220.34159169438,19259.586612769603
2021-06-30,36606.39,744602618048.9277,206834.0605691466,6205.021817074397,11375.873331303064,17374.061087808313,30401.368182925602,25230.516668696935,19232.328912191686
2021-05-31,57793.518868245,995967173223.4708,276657.54811763077,8299.726443528923,15216.165146469695,23239.234041880984,49493.79242471608,42577.353721775304,34554.28482636402
2021-04-30,58755.615177915,1237155148791.0142,343654.2079975039,10309.626239925117,18900.981439862717,28866.953471790333,48445.98893798988,39854.63373805229,29888.66170612467
2021-03-31,49557.936855621,1221004209748.587,339167.83604127413,10175.035081238224,18654.230982270077,28490.09822746703,39382.90177438278,30903.705873350926,21067.83862815397
2021-02-28,33513.441195617,977565264367.4344,271545.9067687318,8146.377203061953,14935.02487228025,22809.85616857347,25367.06399255505,18578.41632333675,10703.58502704353
2021-01-31,29300.190935827,1065475956847.402,295965.5435687228,8878.966307061683,16278.104896279754,24861.10565977272,20421.224628765318,13022.086039547245,4439.08527605428
2020-12-31,18855.043740295,942555445486.2848,261820.95707952356,7854.628712385706,14400.152639373799,21992.96039467998,11000.415027909294,4454.891100921202,-3137.9166543849788
2020-11-30,13735.006857626,981391328522.3452,272608.7023673181,8178.261071019542,14993.478630202497,22899.13099885472,5556.745786606458,-1258.4717725764967,-9164.124141228718
2020-10-31,10614.303326871,1298575069224.2708,360715.29700674186,10821.458910202255,19839.341335370806,30300.08494856632,-207.1555833312541,-9225.038008499805,-19685.78162169532
2020-09-30,11921.754916292,801067975302.1614,222518.88202837817,6675.566460851344,12238.5385115608,18691.586090383767,5246.188455440656,-316.7835952688001,-6769.831174091767
