Date,ln(P_max),Data monthly average,Model ln(P_eff)
2012-01-15,-10.66705719739262,3.425263837638376e-06,2.18941265195978e-06
2012-01-16,-10.66705719739262,3.425263837638376e-06,2.18941265195978e-06
2012-01-17,-10.66705719739262,3.425263837638376e-06,2.18941265195978e-06
2012-01-18,-10.66705719739262,3.425263837638376e-06,2.18941265195978e-06
2012-01-19,-10.66705719739262,3.425263837638376e-06,2.18941265195978e-06
2012-01-20,-10.66705719739262,3.425263837638376e-06,2.18941265195978e-06
2012-01-21,-10.66705719739262,3.425263837638376e-06,2.18941265195978e-06
2012-01-22,-10.66705719739262,3.425263837638376e-06,2.18941265195978e-06
2012-01-23,-10.66705719739262,3.425263837638376e-06,2.18941265195978e-06
2012-01-24,-10.66705719739262,3.425263837638376e-06,2.18941265195978e-06
2012-01-25,-10.66705719739262,3.425263837638376e-06,2.18941265195978e-06
2012-01-26,-10.66705719739262,3.425263837638376e-06,2.18941265195978e-06
2012-01-27,-10.66705719739262,3.425263837638376e-06,2.18941265195978e-06
2012-01-28,-10.66705719739262,3.425263837638376e-06,2.18941265195978e-06
2012-01-29,-10.66705719739262,3.425263837638376e-06,2.18941265195978e-06
2012-01-30,-10.66705719739262,3.425263837638376e-06,2.18941265195978e-06
2012-01-31,-10.66705719739262,3.425263837638376e-06,2.18941265195978e-06
2012-04-01,-10.66705719739262,4.156520379146919e-06,3.436844533174683e-06
2012-04-02,-10.66705719739262,4.156520379146919e-06,3.436844533174683e-06
2012-04-03,-10.66705719739262,4.156520379146919e-06,3.436844533174683e-06
2012-04-04,-10.66705719739262,4.156520379146919e-06,3.436844533174683e-06
2012-04-05,-10.66705719739262,4.156520379146919e-06,3.436844533174683e-06
2012-04-06,-10.66705719739262,4.156520379146919e-06,3.436844533174683e-06
2012-04-07,-10.66705719739262,4.156520379146919e-06,3.436844533174683e-06
2012-04-08,-10.66705719739262,4.156520379146919e-06,3.436844533174683e-06
2012-04-09,-10.66705719739262,4.156520379146919e-06,3.436844533174683e-06
2012-04-10,-10.66705719739262,4.156520379146919e-06,3.436844533174683e-06
2012-04-11,-10.66705719739262,4.156520379146919e-06,3.436844533174683e-06
2012-04-12,-10.66705719739262,4.156520379146919e-06,3.436844533174683e-06
2012-04-13,-10.66705719739262,4.156520379146919e-06,3.436844533174683e-06
2012-04-14,-10.66705719739262,4.156520379146919e-06,3.436844533174683e-06
2012-04-15,-10.66705719739262,4.156520379146919e-06,3.436844533174683e-06
2012-04-16,-10.66705719739262,4.156520379146919e-06,3.436844533174683e-06
2012-04-17,-10.66705719739262,4.156520379146919e-06,3.436844533174683e-06
2012-04-18,-10.66705719739262,4.156520379146919e-06,3.436844533174683e-06
2012-04-19,-10.66705719739262,4.156520379146919e-06,3.436844533174683e-06
2012-04-20,-10.66705719739262,4.156520379146919e-06,3.436844533174683e-06
2012-04-21,-10.66705719739262,4.156520379146919e-06,3.436844533174683e-06
2012-04-22,-10.66705719739262,4.156520379146919e-06,3.436844533174683e-06
2012-04-23,-10.66705719739262,4.156520379146919e-06,3.436844533174683e-06
2012-04-24,-10.66705719739262,4.156520379146919e-06,3.436844533174683e-06
2012-04-25,-10.66705719739262,4.156520379146919e-06,3.436844533174683e-06
2012-04-26,-10.66705719739262,4.156520379146919e-06,3.436844533174683e-06
2012-04-27,-10.66705719739262,4.156520379146919e-06,3.436844533174683e-06
2012-04-28,-10.66705719739262,4.156520379146919e-06,3.436844533174683e-06
2012-04-29,-10.66705719739262,4.156520379146919e-06,3.436844533174683e-06
2012-04-30,-10.66705719739262,4.156520379146919e-06,3.436844533174683e-06
2012-07-01,-10.66705719739262,4.60401179245283e-06,4.4471317419486845e-06
2012-07-02,-10.66705719739262,4.60401179245283e-06,4.4471317419486845e-06
2012-07-03,-10.66705719739262,4.60401179245283e-06,4.4471317419486845e-06
2012-07-04,-10.66705719739262,4.60401179245283e-06,4.4471317419486845e-06
2012-07-05,-10.66705719739262,4.60401179245283e-06,4.4471317419486845e-06
2012-07-06,-10.66705719739262,4.60401179245283e-06,4.4471317419486845e-06
2012-07-07,-10.66705719739262,4.60401179245283e-06,4.4471317419486845e-06
2012-07-08,-10.66705719739262,4.60401179245283e-06,4.4471317419486845e-06
2012-07-09,-10.66705719739262,4.60401179245283e-06,4.4471317419486845e-06
2012-07-10,-10.66705719739262,4.60401179245283e-06,4.4471317419486845e-06
2012-07-11,-10.66705719739262,4.60401179245283e-06,4.4471317419486845e-06
2012-07-12,-10.66705719739262,4.60401179245283e-06,4.4471317419486845e-06
2012-07-13,-10.66705719739262,4.60401179245283e-06,4.4471317419486845e-06
2012-07-14,-10.66705719739262,4.60401179245283e-06,4.4471317419486845e-06
2012-07-15,-10.66705719739262,4.60401179245283e-06,4.4471317419486845e-06
2012-07-16,-10.66705719739262,4.60401179245283e-06,4.4471317419486845e-06
2012-07-17,-10.66705719739262,4.60401179245283e-06,4.4471317419486845e-06
2012-07-18,-10.66705719739262,4.60401179245283e-06,4.4471317419486845e-06
2012-07-19,-10.66705719739262,4.60401179245283e-06,4.4471317419486845e-06
2012-07-20,-10.66705719739262,4.60401179245283e-06,4.4471317419486845e-06
2012-07-21,-10.66705719739262,4.60401179245283e-06,4.4471317419486845e-06
2012-07-22,-10.66705719739262,4.60401179245283e-06,4.4471317419486845e-06
2012-07-23,-10.66705719739262,4.60401179245283e-06,4.4471317419486845e-06
2012-07-24,-10.66705719739262,4.60401179245283e-06,4.4471317419486845e-06
2012-07-25,-10.66705719739262,4.60401179245283e-06,4.4471317419486845e-06
2012-07-26,-10.66705719739262,4.60401179245283e-06,4.4471317419486845e-06
2012-07-27,-10.66705719739262,4.60401179245283e-06,4.4471317419486845e-06
2012-07-28,-10.66705719739262,4.60401179245283e-06,4.4471317419486845e-06
2012-07-29,-10.66705719739262,4.60401179245283e-06,4.4471317419486845e-06
2012-07-30,-10.66705719739262,4.60401179245283e-06,4.4471317419486845e-06
2012-07-31,-10.66705719739262,4.60401179245283e-06,4.4471317419486845e-06
2012-10-01,-10.66705719739262,5.361026530612245e-06,4.842560716283656e-06
2012-10-02,-10.66705719739262,5.361026530612245e-06,4.842560716283656e-06
2012-10-03,-10.66705719739262,5.361026530612245e-06,4.842560716283656e-06
2012-10-04,-10.66705719739262,5.361026530612245e-06,4.842560716283656e-06
2012-10-05,-10.66705719739262,5.361026530612245e-06,4.842560716283656e-06
2012-10-06,-10.66705719739262,5.361026530612245e-06,4.842560716283656e-06
2012-10-07,-10.66705719739262,5.361026530612245e-06,4.842560716283656e-06
2012-10-08,-10.66705719739262,5.361026530612245e-06,4.842560716283656e-06
2012-10-09,-10.66705719739262,5.361026530612245e-06,4.842560716283656e-06
2012-10-10,-10.66705719739262,5.361026530612245e-06,4.842560716283656e-06
2012-10-11,-10.66705719739262,5.361026530612245e-06,4.842560716283656e-06
2012-10-12,-10.66705719739262,5.361026530612245e-06,4.842560716283656e-06
2012-10-13,-10.66705719739262,5.361026530612245e-06,4.842560716283656e-06
2012-10-14,-10.66705719739262,5.361026530612245e-06,4.842560716283656e-06
2012-10-15,-10.66705719739262,5.361026530612245e-06,4.842560716283656e-06
2012-10-16,-10.66705719739262,5.361026530612245e-06,4.842560716283656e-06
2012-10-17,-10.66705719739262,5.361026530612245e-06,4.842560716283656e-06
2012-10-18,-10.66705719739262,5.361026530612245e-06,4.842560716283656e-06
2012-10-19,-10.66705719739262,5.361026530612245e-06,4.842560716283656e-06
2012-10-20,-10.66705719739262,5.361026530612245e-06,4.842560716283656e-06
2012-10-21,-10.66705719739262,5.361026530612245e-06,4.842560716283656e-06
2012-10-22,-10.66705719739262,5.361026530612245e-06,4.842560716283656e-06
2012-10-23,-10.66705719739262,5.361026530612245e-06,4.842560716283656e-06
2012-10-24,-10.66705719739262,5.361026530612245e-06,4.842560716283656e-06
2012-10-25,-10.66705719739262,5.361026530612245e-06,4.842560716283656e-06
2012-10-26,-10.66705719739262,5.361026530612245e-06,4.842560716283656e-06
2012-10-27,-10.66705719739262,5.361026530612245e-06,4.842560716283656e-06
2012-10-28,-10.66705719739262,5.361026530612245e-06,4.842560716283656e-06
2012-10-29,-10.66705719739262,5.361026530612245e-06,4.842560716283656e-06
2012-10-30,-10.66705719739262,5.361026530612245e-06,4.842560716283656e-06
2012-10-31,-10.66705719739262,5.361026530612245e-06,4.842560716283656e-06
2013-01-01,-8.294049640102028,4.450572749003984e-05,5.410703661105883e-06
2013-01-02,-8.294049640102028,4.450572749003984e-05,5.410703661105883e-06
2013-01-03,-8.294049640102028,4.450572749003984e-05,5.410703661105883e-06
2013-01-04,-8.294049640102028,4.450572749003984e-05,5.410703661105883e-06
2013-01-05,-8.294049640102028,4.450572749003984e-05,5.410703661105883e-06
2013-01-06,-8.294049640102028,4.450572749003984e-05,5.410703661105883e-06
2013-01-07,-8.294049640102028,4.450572749003984e-05,5.410703661105883e-06
2013-01-08,-8.294049640102028,4.450572749003984e-05,5.410703661105883e-06
2013-01-09,-8.294049640102028,4.450572749003984e-05,5.410703661105883e-06
2013-01-10,-8.294049640102028,4.450572749003984e-05,5.410703661105883e-06
2013-01-11,-8.294049640102028,4.450572749003984e-05,5.410703661105883e-06
2013-01-12,-8.294049640102028,4.450572749003984e-05,5.410703661105883e-06
2013-01-13,-8.294049640102028,4.450572749003984e-05,5.410703661105883e-06
2013-01-14,-8.294049640102028,4.450572749003984e-05,5.410703661105883e-06
2013-01-15,-8.294049640102028,4.450572749003984e-05,5.410703661105883e-06
2013-01-16,-8.294049640102028,4.450572749003984e-05,5.410703661105883e-06
2013-01-17,-6.684611727667927,4.450572749003984e-05,5.410703661105883e-06
2013-01-18,-6.684611727667927,4.450572749003984e-05,5.410703661105883e-06
2013-01-19,-6.684611727667927,4.450572749003984e-05,5.410703661105883e-06
2013-01-20,-6.684611727667927,4.450572749003984e-05,5.410703661105883e-06
2013-01-21,-6.684611727667927,4.450572749003984e-05,5.410703661105883e-06
2013-01-22,-6.684611727667927,4.450572749003984e-05,5.410703661105883e-06
2013-01-23,-6.684611727667927,4.450572749003984e-05,5.410703661105883e-06
2013-01-24,-6.684611727667927,4.450572749003984e-05,5.410703661105883e-06
2013-01-25,-6.684611727667927,4.450572749003984e-05,5.410703661105883e-06
2013-01-26,-6.684611727667927,4.450572749003984e-05,5.410703661105883e-06
2013-01-27,-6.684611727667927,4.450572749003984e-05,5.410703661105883e-06
2013-01-28,-6.684611727667927,4.450572749003984e-05,5.410703661105883e-06
2013-01-29,-6.684611727667927,4.450572749003984e-05,5.410703661105883e-06
2013-01-30,-6.684611727667927,4.450572749003984e-05,5.410703661105883e-06
2013-01-31,-6.684611727667927,4.450572749003984e-05,5.410703661105883e-06
2013-04-01,-6.684611727667927,0.0003460335800818554,4.194214631046263e-05
2013-04-02,-6.684611727667927,0.0003460335800818554,4.194214631046263e-05
2013-04-03,-6.684611727667927,0.0003460335800818554,4.194214631046263e-05
2013-04-04,-6.684611727667927,0.0003460335800818554,4.194214631046263e-05
2013-04-05,-6.684611727667927,0.0003460335800818554,4.194214631046263e-05
2013-04-06,-6.684611727667927,0.0003460335800818554,4.194214631046263e-05
2013-04-07,-6.684611727667927,0.0003460335800818554,4.194214631046263e-05
2013-04-08,-6.684611727667927,0.0003460335800818554,4.194214631046263e-05
2013-04-09,-6.684611727667927,0.0003460335800818554,4.194214631046263e-05
2013-04-10,-6.684611727667927,0.0003460335800818554,4.194214631046263e-05
2013-04-11,-6.684611727667927,0.0003460335800818554,4.194214631046263e-05
2013-04-12,-6.684611727667927,0.0003460335800818554,4.194214631046263e-05
2013-04-13,-6.684611727667927,0.0003460335800818554,4.194214631046263e-05
2013-04-14,-6.684611727667927,0.0003460335800818554,4.194214631046263e-05
2013-04-15,-6.684611727667927,0.0003460335800818554,4.194214631046263e-05
2013-04-16,-6.684611727667927,0.0003460335800818554,4.194214631046263e-05
2013-04-17,-6.684611727667927,0.0003460335800818554,4.194214631046263e-05
2013-04-18,-6.684611727667927,0.0003460335800818554,4.194214631046263e-05
2013-04-19,-6.684611727667927,0.0003460335800818554,4.194214631046263e-05
2013-04-20,-6.684611727667927,0.0003460335800818554,4.194214631046263e-05
2013-04-21,-6.684611727667927,0.0003460335800818554,4.194214631046263e-05
2013-04-22,-6.684611727667927,0.0003460335800818554,4.194214631046263e-05
2013-04-23,-6.684611727667927,0.0003460335800818554,4.194214631046263e-05
2013-04-24,-6.684611727667927,0.0003460335800818554,4.194214631046263e-05
2013-04-25,-6.684611727667927,0.0003460335800818554,4.194214631046263e-05
2013-04-26,-6.684611727667927,0.0003460335800818554,4.194214631046263e-05
2013-04-27,-6.684611727667927,0.0003460335800818554,4.194214631046263e-05
2013-04-28,-6.684611727667927,0.0003460335800818554,4.194214631046263e-05
