date,avg_efficiency,max_efficiency,open_price,count
2017-12-03,0.0101930408,0.01021,11048.835144428,0.0
2017-12-04,0.0101930408,0.01021,11318.919770069,0.0
2017-12-05,0.0101930408,0.01021,11665.227599752,0.0
2017-12-06,0.0101930408,0.01021,11874.395923311,0.0
2017-12-07,0.0101930408,0.01021,14060.914971738,0.0
2017-12-08,0.0101930408,0.01021,18057.850487517,0.0
2017-12-09,0.0101930408,0.01021,16578.11273996,0.0
2017-12-10,0.0101930408,0.01021,15159.236376816,0.0
2017-12-11,0.0101930408,0.01021,15322.77282757,0.0
2017-12-12,0.0101930408,0.01021,16841.086566729,0.0
2017-12-13,0.0101930408,0.01021,16819.041039848,0.0
2017-12-14,0.0101930408,0.01021,16245.233910544,0.0
2017-12-15,0.0101930408,0.01021,16456.756296301,0.0
2017-12-16,0.0101930408,0.01021,17663.904828516,0.0
2017-12-17,0.0101930408,0.01021,19417.860788762,0.0
2017-12-18,0.0101930408,0.01021,19184.874580834,0.0
2017-12-19,0.0101930408,0.01021,18969.614240256,0.0
2017-12-20,0.0101930408,0.01021,17713.380966756,0.0
2017-12-21,0.0101930408,0.01021,16632.217993327,0.0
2017-12-22,0.00635,0.01021,15609.624800956,1.0
2017-12-23,0.0013030054499999998,0.01021,13784.652173892,2.0
2017-12-24,0.0013030054499999998,0.01021,14159.446340004,0.0
2017-12-25,0.0013030054499999998,0.01021,13868.871856886,0.0
2017-12-26,0.0013030054499999998,0.01021,13967.014433086,0.0
2017-12-27,0.0013030054499999998,0.01021,16076.9073565,0.0
2017-12-28,0.0013030054499999998,0.01021,15536.644409597,0.0
2017-12-29,0.0013030054499999998,0.01021,14600.370233856,0.0
2017-12-30,0.0013030054499999998,0.01021,14594.7681588,0.0
2017-12-31,0.0013030054499999998,0.01021,12596.018572226,0.0
2018-01-01,0.0013030054499999998,0.01021,14046.002763769,0.0
2018-01-02,0.0013030054499999998,0.01021,13644.693035103,0.0
2018-01-03,0.0013030054499999998,0.01021,14895.27536735,0.0
2018-01-04,0.0013030054499999998,0.01021,15168.972365175,0.0
2018-01-05,0.0013030054499999998,0.01021,15197.764745391,0.0
2018-01-06,0.0013030054499999998,0.01021,17025.656424047,0.0
2018-01-07,0.0013030054499999998,0.01021,17147.576402894,0.0
2018-01-08,0.0013030054499999998,0.01021,16265.340844756,0.0
2018-01-09,0.0013030054499999998,0.01021,15190.761147069,0.0
2018-01-10,0.0013030054499999998,0.01021,14705.367542398,0.0
2018-01-11,0.0013030054499999998,0.01021,15120.84411144,0.0
2018-01-12,0.0013030054499999998,0.01021,13571.758126006,0.0
2018-01-13,0.0013030054499999998,0.01021,14066.981282517,0.0
2018-01-14,0.0013030054499999998,0.01021,14535.057286259,0.0
2018-01-15,0.0013030054499999998,0.01021,13787.98920627,0.0
2018-01-16,0.0013030054499999998,0.01021,13797.975542571,0.0
2018-01-17,0.0013030054499999998,0.01021,11284.388635522,0.0
2018-01-18,0.0013030054499999998,0.01021,11201.992361192,0.0
2018-01-19,0.001375235557142857,0.01021,11209.291941978,7.0
2018-01-20,0.001375235557142857,0.01021,11571.617873758,0.0
2018-01-21,0.001375235557142857,0.01021,12982.920751349,0.0
2018-01-22,0.001375235557142857,0.01021,11529.521821363,0.0
2018-01-23,0.001375235557142857,0.01021,10917.290839889,0.0
2018-01-24,0.0007619,0.01021,10821.591111563,1.0
2018-01-25,0.0007619,0.01021,11353.62685415,0.0
2018-01-26,0.0007619,0.01021,11203.60858273,0.0
2018-01-27,0.0007619,0.01021,11112.817847687,0.0
2018-01-28,0.0010353369666666666,0.01021,11492.650190852,3.0
2018-01-29,0.0010353369666666666,0.01021,11778.744249792,0.0
2018-01-30,0.009439184566666666,0.01021,11365.345139521,3.0
2018-01-31,0.009439184566666666,0.01021,10104.971872028,0.0
2018-02-01,0.009439184566666666,0.01021,10269.843886839,0.0
2018-02-02,0.009439184566666666,0.01021,9118.231270487,0.0
2018-02-03,0.009439184566666666,0.01021,8763.536968439,0.0
2018-02-04,0.009439184566666666,0.01021,9198.067913658,0.0
2018-02-05,0.009439184566666666,0.01021,8215.505812363,0.0
2018-02-06,0.009439184566666666,0.01021,6910.997302186,0.0
2018-02-07,0.009439184566666666,0.01021,7714.07310376,0.0
2018-02-08,0.009439184566666666,0.01021,7569.867386754,0.0
2018-02-09,0.009439184566666666,0.01021,8266.287000352,0.0
2018-02-10,0.0005,0.01021,8697.342477143,1.0
2018-02-11,0.0005,0.01021,8624.258121035,0.0
2018-02-12,0.0014645,0.01021,8120.351924296,2.0
2018-02-13,0.0014645,0.01021,8887.228306759,0.0
2018-02-14,0.0014645,0.01021,8564.700308406,0.0
2018-02-15,0.0014645,0.01021,9494.63,0.0
2018-02-16,0.0014645,0.01021,10091.750212088,0.0
2018-02-17,0.0014645,0.01021,10234.612793074,0.0
2018-02-18,0.0014645,0.01021,11124.360485028,0.0
2018-02-19,0.0014645,0.01021,10562.644468981,0.0
2018-02-20,0.0014645,0.01021,11197.759777513,0.0
2018-02-21,0.00635,0.01021,11436.166476281,1.0
2018-02-22,0.00635,0.01021,10691.350530395,0.0
2018-02-23,0.00635,0.01021,9972.72335964,0.0
2018-02-24,0.006,0.01021,10328.567370931,1.0
2018-02-25,0.006,0.01021,9844.516789724,0.0
2018-02-26,0.006,0.01021,9703.321915886,0.0
2018-02-27,0.006,0.01021,10388.882339564,0.0
2018-02-28,0.006,0.01021,10727.535133876,0.0
2018-03-01,0.006,0.01021,10423.581475732,0.0
2018-03-02,0.006,0.01021,10920.662074394,0.0
2018-03-03,0.006,0.01021,11094.237419658,0.0
2018-03-04,0.006,0.01021,11497.564316573,0.0
2018-03-05,0.006,0.01021,11502.666673068,0.0
2018-03-06,0.0015621807285714287,0.01021,11520.402454973,7.0
2018-03-07,0.0015621807285714287,0.01021,10721.475282301,0.0
2018-03-08,0.0015621807285714287,0.01021,9971.758251061,0.0
2018-03-09,0.0015621807285714287,0.01021,9411.715540851,0.0
2018-03-10,0.0015621807285714287,0.01021,9339.626812522,0.0
2018-03-11,0.0015621807285714287,0.01021,8856.718881049,0.0
2018-03-12,0.0015621807285714287,0.01021,9557.854232694,0.0
2018-03-13,0.0015621807285714287,0.01021,9179.776981508,0.0
2018-03-14,0.0015621807285714287,0.01021,9206.908110717,0.0
2018-03-15,0.0015621807285714287,0.01021,8255.725415537,0.0
2018-03-16,0.0015621807285714287,0.01021,8302.595689134,0.0
2018-03-17,0.0009893333333333332,0.01021,8294.104092354,3.0
2018-03-18,0.0009893333333333332,0.01021,7912.658935325,0.0
2018-03-19,0.0009893333333333332,0.01021,8195.616341537,0.0
2018-03-20,0.0009893333333333332,0.01021,8620.287305561,0.0
2018-03-21,0.0009893333333333332,0.01021,8907.399598381,0.0
2018-03-22,0.00635,0.01021,8970.660358236,1.0
2018-03-23,0.00635,0.01021,8728.47,0.0
2018-03-24,0.00635,0.01021,8923.404782927,0.0
2018-03-25,0.00635,0.01021,8554.421564965,0.0
2018-03-26,0.00635,0.01021,8453.806862484,0.0
2018-03-27,0.00635,0.01021,8171.701764094,0.0
2018-03-28,0.00635,0.01021,7821.605869561,0.0
2018-03-29,0.00635,0.01021,7947.62755735,0.0
2018-03-30,0.0101930408,0.01021,7154.016617403,2.0
2018-03-31,0.0101930408,0.01021,6875.890211418,0.0
2018-04-01,0.0101930408,0.01021,6959.890619635,0.0
2018-04-02,0.0101930408,0.01021,6841.725764416,0.0
2018-04-03,0.0101930408,0.01021,7066.360264855,0.0
2018-04-04,0.0101930408,0.01021,7454.194480807,0.0
2018-04-05,0.0101930408,0.01021,6844.005785453,0.0
2018-04-06,0.0101930408,0.01021,6796.855663533,0.0
2018-04-07,0.001,0.01021,6640.309470519,1.0
2018-04-08,0.001,0.01021,6898.345032954,0.0
2018-04-09,0.001,0.01021,7013.715303761,0.0
2018-04-10,0.001,0.01021,6782.532082976,0.0
2018-04-11,0.001,0.01021,6845.560832212,0.0
2018-04-12,0.001,0.01021,6933.971966124,0.0
2018-04-13,0.001,0.01021,7821.364048725,0.0
2018-04-14,0.001,0.01021,7862.97915655,0.0
2018-04-15,0.001282,0.01021,7931.478615367,1.0
2018-04-16,0.001282,0.01021,8306.241710004,0.0
2018-04-17,0.001282,0.01021,8042.520382416,0.0
2018-04-18,0.001282,0.01021,7898.148906651,0.0
2018-04-19,0.001282,0.01021,8137.721564119,0.0
2018-04-20,0.001282,0.01021,8279.071885016,0.0
2018-04-21,0.001282,0.01021,8831.324167528,0.0
2018-04-22,0.001282,0.01021,8890.882431127,0.0
2018-04-23,0.001282,0.01021,8785.307707704,0.0
2018-04-24,0.0108108108,0.01021,8927.498952717,1.0
2018-04-25,0.0108108108,0.01021,9689.429015472,0.0
2018-04-26,0.0108108108,0.01021,8858.958858584,1.0
2018-04-27,0.0108108108,0.01021,9272.68850891,0.0
2018-04-28,0.0108108108,0.01021,8945.682032015,0.0
2018-04-29,0.0101930408,0.01021,9337.929478299,2.0
2018-04-30,0.0101930408,0.01021,9412.933156562,0.0
2018-05-01,0.0101930408,0.01021,9253.083882874,0.0
2018-05-02,0.0101930408,0.01021,9084.637928461,0.0
2018-05-03,0.0101930408,0.01021,9236.410635499,0.0
2018-05-04,0.0101930408,0.01021,9758.94385267,0.0
2018-05-05,0.0101930408,0.01021,9714.030902412,0.0
2018-05-06,0.0101930408,0.01021,9869.313498486,0.0
2018-05-07,0.0101930408,0.01021,9673.823718897,0.0
2018-05-08,0.0101930408,0.01021,9380.792342012,0.0
2018-05-09,0.0101930408,0.01021,9232.346558206,0.0
2018-05-10,0.0101930408,0.01021,9314.428561457,0.0
2018-05-11,0.0101930408,0.01021,9040.788664552,0.0
2018-05-12,0.0101930408,0.01021,8416.407227841,0.0
2018-05-13,0.0005,0.01021,8488.707530407,1.0
2018-05-14,0.0005,0.01021,8696.818046123,0.0
2018-05-15,0.0005,0.01021,8735.400032204,0.0
2018-05-16,0.0108108108,0.01021,8508.251974499,2.0
2018-05-17,0.0108108108,0.01021,8341.615725326,0.0
2018-05-18,0.0108108108,0.01021,8093.347179942,0.0
2018-05-19,0.0101930408,0.01021,8236.02240278,2.0
2018-05-20,0.0108108108,0.01021,8232.481806821,1.0
2018-05-21,0.0108108108,0.01021,8504.392245727,0.0
2018-05-22,0.0017947386,0.01021,8398.980741383,7.0
2018-05-23,0.0017947386,0.01021,8021.527115451,0.0
2018-05-24,0.0017947386,0.01021,7558.332248074,0.0
2018-05-25,0.0017947386,0.01021,7597.498837309,0.0
2018-05-26,0.0017947386,0.01021,7483.923186515,0.0
2018-05-27,0.0017947386,0.01021,7358.682109051,0.0
2018-05-28,0.0017947386,0.01021,7366.64777523,0.0
2018-05-29,0.0108108108,0.01021,7148.382787397,1.0
2018-05-30,0.0108108108,0.01021,7475.380975127,0.0
2018-05-31,0.0108108108,0.01021,7410.996883153,0.0
2018-06-01,0.0108108108,0.01021,7503.960275241,0.0
2018-06-02,0.0108108108,0.01021,7520.809781437,0.0
2018-06-03,0.0108108108,0.01021,7586.635658935,0.0
2018-06-04,0.0108108108,0.01021,7687.675751763,0.0
2018-06-05,0.0108108108,0.01021,7504.61258223,0.0
2018-06-06,0.0108108108,0.01021,7611.859043556,0.0
2018-06-07,0.0108108108,0.01021,7576.087612329,0.0
2018-06-08,0.0108108108,0.01021,7659.86399996,0.0
2018-06-09,0.0108108108,0.01021,7624.284000169,0.0
2018-06-10,0.0108108108,0.01021,7563.600993476,0.0
2018-06-11,0.0108108108,0.01021,6804.106499107,0.0
2018-06-12,0.0108108108,0.01021,6845.923064395,0.0
2018-06-13,0.0108108108,0.01021,6559.943493856,0.0
2018-06-14,0.0108108108,0.01021,6307.58885043,0.0
2018-06-15,0.0108108108,0.01021,6650.926764781,0.0
2018-06-16,0.0108108108,0.01021,6469.496413441,0.0
2018-06-17,0.0108108108,0.01021,6500.4350038,0.0
2018-06-18,0.0108108108,0.01021,6460.21840507,0.0
2018-06-19,0.0108108108,0.01021,6705.753311753,0.0
2018-06-20,0.0108108108,0.01021,6720.901573124,0.0
2018-06-21,0.0108108108,0.01021,6734.137827984,0.0
2018-06-22,0.0108108108,0.01021,6712.439403078,0.0
2018-06-23,0.0108108108,0.01021,6073.054271142,0.0
2018-06-24,0.0108108108,0.01021,6157.664107899,0.0
2018-06-25,0.0108108108,0.01021,6149.963218829,0.0
2018-06-26,0.0038948393,0.01021,6247.163489863,1.0
2018-06-27,0.0038948393,0.01021,6108.081816244,0.0
2018-06-28,0.0038948393,0.01021,6118.418332491,0.0
2018-06-29,0.0038948393,0.01021,5910.738003714,0.0
2018-06-30,0.0038948393,0.01021,6133.70397686,0.0
2018-07-01,0.0038948393,0.01021,6385.423752059,0.0
2018-07-02,0.0038948393,0.01021,6363.378352016,0.0
2018-07-03,0.0038948393,0.01021,6595.97519117,0.0
