date,hardware_name,TH/J,max_efficiency,year
2011-06-08 23:51:52,5770,1.9401e-06,3.78e-06,2011
2011-06-08 23:51:52,6950,1.9399e-06,3.78e-06,2011
2011-06-08 23:51:52,4550,2.89e-07,3.78e-06,2011
2011-06-08 23:51:52,5770,1.9401e-06,3.78e-06,2011
2011-06-09 00:43:01,5870,1.906e-06,3.78e-06,2011
2011-06-09 00:43:01,5830,1.5452e-06,3.78e-06,2011
2011-06-09 00:43:01,5970,2.0053e-06,3.78e-06,2011
2011-06-09 00:43:01,6950,1.9399e-06,3.78e-06,2011
2011-06-09 00:50:49,6950,1.9399e-06,3.78e-06,2011
2011-06-09 01:21:33,6990,1.9056e-06,3.78e-06,2011
2011-06-09 01:26:47,5830,1.5452e-06,3.78e-06,2011
2011-06-10 08:42:19,5850,1.8195e-06,3.78e-06,2011
2011-06-10 08:42:19,5870,1.906e-06,3.78e-06,2011
2011-06-10 11:21:44,5770,1.9401e-06,3.78e-06,2011
2011-06-10 11:21:44,5830,1.5452e-06,3.78e-06,2011
2011-06-10 13:05:08,5850,1.8195e-06,3.78e-06,2011
2011-06-10 15:04:00,core i7 2600k,1.86e-05,3.78e-06,2011
2011-06-10 15:04:00,5830,1.5452e-06,3.78e-06,2011
2011-06-10 15:33:34,6950,1.9399e-06,3.78e-06,2011
2011-06-10 15:33:34,6970,1.8507e-06,3.78e-06,2011
2011-06-10 16:24:47,6970,1.8507e-06,3.78e-06,2011
2011-06-10 17:33:22,5770,1.9401e-06,3.78e-06,2011
2011-06-11 15:02:37,5770,1.9401e-06,3.78e-06,2011
2011-06-11 15:02:37,5850,1.8195e-06,3.78e-06,2011
2011-06-11 15:02:37,6950,1.9399e-06,3.78e-06,2011
2011-06-12 04:13:42,6970,1.8507e-06,3.78e-06,2011
2011-06-12 05:25:59,6970,1.8507e-06,3.78e-06,2011
2011-06-12 05:25:59,5830,1.5452e-06,3.78e-06,2011
2011-06-12 05:25:59,5850,1.8195e-06,3.78e-06,2011
2011-06-12 11:17:24,5870,1.906e-06,3.78e-06,2011
2011-06-12 16:10:27,6950,1.9399e-06,3.78e-06,2011
2011-06-12 16:10:27,6990,1.9056e-06,3.78e-06,2011
