date,max_efficiency
2012-03-26,23300000.0
2012-03-27,23300000.0
2012-03-28,23300000.0
2012-03-29,23300000.0
2012-03-30,23300000.0
2012-03-31,23300000.0
2012-04-01,23300000.0
2012-04-02,23300000.0
2012-04-03,23300000.0
2012-04-04,23300000.0
2012-04-05,23300000.0
2012-04-06,23300000.0
2012-04-07,23300000.0
2012-04-08,23300000.0
2012-04-09,23300000.0
2012-04-10,23300000.0
2012-04-11,23300000.0
2012-04-12,23300000.0
2012-04-13,23300000.0
2012-04-14,23300000.0
2012-04-15,23300000.0
2012-04-16,23300000.0
2012-04-17,23300000.0
2012-04-18,23300000.0
2012-04-19,23300000.0
2012-04-20,23300000.0
2012-04-21,23300000.0
2012-04-22,23300000.0
2012-04-23,23300000.0
2012-04-24,23300000.0
2012-04-25,23300000.0
2012-04-26,23300000.0
2012-04-27,23300000.0
2012-04-28,23300000.0
2012-04-29,23300000.0
2012-04-30,23300000.0
2012-05-01,23300000.0
2012-05-02,23300000.0
2012-05-03,23300000.0
2012-05-04,23300000.0
2012-05-05,23300000.0
2012-05-06,23300000.0
2012-05-07,23300000.0
2012-05-08,23300000.0
2012-05-09,23300000.0
2012-05-10,23300000.0
2012-05-11,23300000.0
2012-05-12,23300000.0
2012-05-13,23300000.0
2012-05-14,23300000.0
2012-05-15,23300000.0
2012-05-16,23300000.0
2012-05-17,23300000.0
2012-05-18,23300000.0
2012-05-19,23300000.0
2012-05-20,23300000.0
2012-05-21,23300000.0
2012-05-22,23300000.0
2012-05-23,23300000.0
2012-05-24,23300000.0
2012-05-25,23300000.0
2012-05-26,23300000.0
2012-05-27,23300000.0
2012-05-28,23300000.0
2012-05-29,23300000.0
2012-05-30,23300000.0
2012-05-31,23300000.0
2012-06-01,23300000.0
2012-06-02,23300000.0
2012-06-03,23300000.0
2012-06-04,23300000.0
2012-06-05,23300000.0
2012-06-06,23300000.0
2012-06-07,23300000.0
2012-06-08,23300000.0
2012-06-09,23300000.0
2012-06-10,23300000.0
2012-06-11,23300000.0
2012-06-12,23300000.0
2012-06-13,23300000.0
2012-06-14,23300000.0
2012-06-15,23300000.0
2012-06-16,23300000.0
2012-06-17,23300000.0
2012-06-18,23300000.0
2012-06-19,23300000.0
2012-06-20,23300000.0
2012-06-21,23300000.0
2012-06-22,23300000.0
2012-06-23,23300000.0
2012-06-24,23300000.0
2012-06-25,23300000.0
2012-06-26,23300000.0
2012-06-27,23300000.0
2012-06-28,23300000.0
2012-06-29,23300000.0
2012-06-30,23300000.0
2012-07-01,23300000.0
2012-07-02,23300000.0
2012-07-03,23300000.0
2012-07-04,23300000.0
2012-07-05,23300000.0
2012-07-06,23300000.0
2012-07-07,23300000.0
2012-07-08,23300000.0
2012-07-09,23300000.0
2012-07-10,23300000.0
2012-07-11,23300000.0
2012-07-12,23300000.0
2012-07-13,23300000.0
2012-07-14,23300000.0
2012-07-15,23300000.0
2012-07-16,23300000.0
2012-07-17,23300000.0
2012-07-18,23300000.0
2012-07-19,23300000.0
2012-07-20,23300000.0
2012-07-21,23300000.0
2012-07-22,23300000.0
2012-07-23,23300000.0
2012-07-24,23300000.0
2012-07-25,23300000.0
2012-07-26,23300000.0
2012-07-27,23300000.0
2012-07-28,23300000.0
2012-07-29,23300000.0
2012-07-30,23300000.0
2012-07-31,23300000.0
2012-08-01,23300000.0
2012-08-02,23300000.0
2012-08-03,23300000.0
2012-08-04,23300000.0
2012-08-05,23300000.0
2012-08-06,23300000.0
2012-08-07,23300000.0
2012-08-08,23300000.0
2012-08-09,23300000.0
2012-08-10,23300000.0
2012-08-11,23300000.0
2012-08-12,23300000.0
2012-08-13,23300000.0
2012-08-14,23300000.0
2012-08-15,23300000.0
2012-08-16,23300000.0
2012-08-17,23300000.0
2012-08-18,23300000.0
2012-08-19,23300000.0
