hardware_name,hashrate,efficiency,hardware_index
Quadro FX 3000M,28.6,unknown,252
Quadro FX 3600M,36,0.514,253
Quadro FX 3800,33.3,unknown,254
Quadro NVS 135M,1.05,0.1,255
Quadro NVS 295,1.7,0.07,256
Quadro NVS 3100M,3.6,0.257,257
Quadro NVS 4200M,10,0.0123,258
Quadro 5000,67.7,0.445,259
Tesla C1060,52.5,0.0405,260
Tesla K20,134.8,0.1909,261
Tesla M2050,87.15,0.0562,262
Tesla S1070,155.2,0.0001,263
Tesla S2070,749.23,0.6515,264
