date,max possible,archaicity,max found,regression
2013-03-16,0.00025,2.33e-05,,0.00012696114817794732
2013-03-17,0.00025,2.33e-05,,0.0001283881803018062
2013-03-18,0.00025,2.33e-05,,0.0001298152124256651
2013-03-19,0.00025,2.33e-05,,0.0001312422445494914
2013-03-20,0.00025,2.33e-05,,0.00013266927667335027
2013-03-21,0.00025,2.33e-05,,0.00013409630879720918
2013-03-22,0.00025,2.33e-05,,0.0001355233409210681
2013-03-23,0.00025,2.33e-05,,0.00013695037304492698
2013-03-24,0.00025,2.33e-05,,0.00013837740516878586
2013-03-25,0.00025,2.33e-05,,0.00013980443729264474
2013-03-26,0.00025,2.33e-05,,0.00014123146941647104
2013-03-27,0.00025,2.33e-05,,0.00014265850154032993
2013-03-28,0.00025,2.33e-05,,0.00014408553366418886
2013-03-29,0.00025,2.33e-05,,0.00014551256578804775
2013-03-30,0.00025,2.33e-05,,0.00014693959791190663
2013-03-31,0.00025,2.33e-05,,0.0001483666300357655
2013-04-01,0.00025,2.33e-05,,0.0001497936621596244
2013-04-02,0.00025,2.33e-05,1.9399e-06,0.0001512206942834507
2013-04-03,0.00025,2.33e-05,,0.00015264772640730958
2013-04-04,0.00025,2.33e-05,,0.00015407475853116852
2013-04-05,0.00025,2.33e-05,,0.0001555017906550274
2013-04-06,0.00025,2.33e-05,,0.00015692882277888628
2013-04-07,0.00025,2.33e-05,,0.00015835585490274516
2013-04-08,0.00025,2.33e-05,,0.00015978288702660405
2013-04-09,0.00025,2.33e-05,,0.00016120991915043035
2013-04-10,0.00025,2.33e-05,,0.00016263695127428923
2013-04-11,0.00025,2.33e-05,,0.00016406398339814817
2013-04-12,0.00025,2.33e-05,0.00025,0.00016549101552200705
2013-04-13,0.00025,2.33e-05,,0.00016691804764586593
2013-04-14,0.00025,2.33e-05,,0.00016834507976972482
2013-04-15,0.00025,2.33e-05,,0.0001697721118935837
2013-04-16,0.00025,2.33e-05,,0.00017119914401741
2013-04-17,0.00025,2.33e-05,,0.00017262617614126889
2013-04-18,0.00025,2.33e-05,,0.00017405320826512782
2013-04-19,0.00025,2.33e-05,,0.0001754802403889867
2013-04-20,0.00025,2.33e-05,,0.0001769072725128456
2013-04-21,0.00025,2.33e-05,,0.00017833430463670447
2013-04-22,0.00025,2.33e-05,,0.0001797613367605634
2013-04-23,0.00025,2.33e-05,,0.00018118836888438966
2013-04-24,0.00025,2.33e-05,,0.0001826154010082486
