date,row_index,hardware_name,TH/J,max_efficiency,year
2014-02-12,503,Antminer S1,0.0005,0.001429,2014
2014-02-25,509,Nvidia GeForce GTX 275,2.32e-07,0.001429,2014
2014-02-25,510,Nvidia GeForce GTX 580,6.420000000000001e-07,0.001429,2014
2014-03-09,553,Antminer U1,0.0008,0.002,2014
2014-03-09,554,Antminer U2,0.001,0.002,2014
2014-03-25,577,AntMiner S1,0.0005,0.002,2014
2014-04-16,596,ANTMINER S1,0.0005,0.002,2014
2014-04-18,599,SP30 Yukon,0.0015,0.002,2014
2014-04-19,600,ANTMINER U2,0.001,0.002,2014
2014-04-20,601,Spondoolies-tech SP10,0.00112,0.002,2014
2014-04-27,604,Klondike,0.00016,0.002,2014
2014-05-03,609,Antminer U2 2Gh/s USB miner,0.001,0.002,2014
2014-05-05,611,Monarch,0.001428,0.002,2014
2014-05-06,612,S2,0.0009,0.002,2014
2014-05-12,618,BLADE,0.000129,0.002,2014
2014-05-14,619,Antminer s1,0.0005,0.002,2014
2014-05-20,622,Antminer S-1,0.0005,0.002,2014
2014-05-20,624,Antminer S2,0.0009,0.002,2014
2014-05-22,625,Antminer S2,0.0009,0.002,2014
2014-05-23,627,Antminer S2,0.0009,0.002,2014
2014-05-23,628,Antminer S2,0.0009,0.002,2014
2014-05-23,629,Antminer S2,0.0009,0.002,2014
2014-05-23,630,Spondoolies Tech SP10,0.00112,0.002,2014
2014-05-27,633,Antminer S2,0.0009,0.002,2014
2014-06-09,638,Rockminer R-BOX,0.000917,0.002,2014
2014-06-15,640,Antminer U2,0.001,0.002,2014
2014-06-16,641,SP30,0.0015,0.002,2014
2014-06-16,643,asic antminer s1,0.0005,0.002,2014
2014-06-17,644,Rockminer R-Box,0.000917,0.002,2014
2014-07-07,652,Neptune,0.001429,0.002,2014
2014-07-07,656,S1 Antminer,0.0005,0.002,2014
2014-07-08,657,Antminer S1,0.0005,0.002,2014
2014-07-13,662,BTCGarden-AM-v1,0.000954,0.002,2014
2014-07-26,667,Antminer S1,0.0005,0.00316,2014
2014-08-01,668,RK-BOX,0.000711,0.00316,2014
2014-08-01,673,Antminer S1,0.0005,0.00316,2014
2014-08-04,682,Antminer S3,0.0013,0.00316,2014
2014-08-25,694,AntMiner S3,0.0013,0.00316,2014
2014-08-25,695,AntMiner S1,0.0005,0.00316,2014
2014-08-25,696,AntMiner S2,0.0009,0.00316,2014
2014-08-27,697,ASICMiner Tube,0.000888,0.00316,2014
2014-08-29,698,AntMiner S3+,0.001282,0.00316,2014
