month,TH/J,t,t_squared,P_max_t,log_P_max_t,model_value
2017-09-01,0.005541,48.0,2304,0.0102,-4.585367558691911,0.005284848367037863
2017-10-01,0.008904666666666667,49.0,2401,0.0102,-4.585367558691911,0.004796943864372034
2017-12-01,0.007684691342993819,50.0,2500,0.01021,-4.584387646805562,0.007766209171232705
2018-01-01,0.007848533111091023,51.0,2601,0.01021,-4.584387646805562,0.006918738598382934
2018-02-01,0.008312109265366333,52.0,2704,0.01021,-4.584387646805562,0.008187281478945665
2018-03-01,0.00864871172114243,53.0,2809,0.01021,-4.584387646805562,0.007977619319221318
2018-04-01,0.009496462053807579,54.0,2916,0.01021,-4.584387646805562,0.008200255831239062
2018-05-01,0.008178364385264576,55.0,3025,0.01021,-4.584387646805562,0.008761630981143614
2018-06-01,0.008567062171099503,56.0,3136,0.01021,-4.584387646805562,0.008591125911488365
2018-07-01,0.008834825574716144,57.0,3249,0.01021,-4.584387646805562,0.008921408157567352
2018-08-01,0.009297845698378913,58.0,3364,0.01021,-4.584387646805562,0.008531931285587265
2018-09-01,0.009630350334537754,59.0,3481,0.01021,-4.584387646805562,0.008854817977985818
2018-10-01,0.009299368036567909,60.0,3600,0.01021,-4.584387646805562,0.00917386137355871
2018-11-01,0.007480295601245075,61.0,3721,0.01021,-4.584387646805562,0.009324565230945946
2018-12-01,0.008369105466693453,62.0,3844,0.02,-3.912023005428146,0.00879569776463297
2019-01-01,0.008623382070951004,63.0,3969,0.02,-3.912023005428146,0.008706162762786275
2019-02-01,0.009491576695600199,64.0,4096,0.02,-3.912023005428146,0.008113756522261014
2019-03-01,0.010257924475442591,65.0,4225,0.02,-3.912023005428146,0.008772606108396329
2019-04-01,0.010519487626523235,66.0,4356,0.02,-3.912023005428146,0.009321195784560424
2019-05-01,0.009734346372534295,67.0,4489,0.0253,-3.6769508832486624,0.009929459636438395
2019-06-01,0.010167556007363243,68.0,4624,0.0253,-3.6769508832486624,0.010068902669536079
2019-07-01,0.010906750302476951,69.0,4761,0.0253,-3.6769508832486624,0.010257664439490513
2019-08-01,0.015369872314896647,70.0,4900,0.0253,-3.6769508832486624,0.01025468429891968
2019-09-01,0.012020328462144937,71.0,5041,0.0253,-3.6769508832486624,0.012114322220365313
2019-10-01,0.013400273619525,72.0,5184,0.0253,-3.6769508832486624,0.011943230785625373
2019-11-01,0.013983722660613453,73.0,5329,0.0253,-3.6769508832486624,0.01393499384675309
2019-12-01,0.0127015525609855,74.0,5476,0.0253,-3.6769508832486624,0.013072139910954642
2020-01-01,0.016311901164240243,75.0,5625,0.0253,-3.6769508832486624,0.013186337127378035
2020-02-01,0.013978503253470392,76.0,5776,0.0253,-3.6769508832486624,0.014583444673895034
2020-03-01,0.013158623304901121,77.0,5929,0.0253,-3.6769508832486624,0.013764875794940862
2020-04-01,0.013164476796085081,78.0,6084,0.0339,-3.3843402645957323,0.014662112028734532
2020-05-01,0.0142037314584639,79.0,6241,0.0339,-3.3843402645957323,0.013662132367098028
2020-06-01,0.01743132605477366,80.0,6400,0.0339,-3.3843402645957323,0.013581988571198678
2020-07-01,0.0170334835232794,81.0,6561,0.0339,-3.3843402645957323,0.014846279318744611
2020-08-01,0.015725911557029137,82.0,6724,0.0339,-3.3843402645957323,0.015650826327839
2020-09-01,0.016781408784651706,83.0,6889,0.0339,-3.3843402645957323,0.01659897331433305
2020-10-01,0.018857576406277655,84.0,7056,0.0339,-3.3843402645957323,0.01674811606342443
2020-12-01,0.008815678067400275,85.0,7225,0.0339,-3.3843402645957323,0.017066237812610286
2021-01-01,0.016217163340557568,86.0,7396,0.0339,-3.3843402645957323,0.014215377328938409
2021-02-01,0.014172137529714485,87.0,7569,0.0339,-3.3843402645957323,0.016283991006659393
2021-03-01,0.013562471020199363,88.0,7744,0.0339,-3.3843402645957323,0.01233344650235758
2021-04-01,0.016081133167569973,89.0,7921,0.0339,-3.3843402645957323,0.01464403356130171
2021-05-01,0.014693488994326962,90.0,8100,0.0339,-3.3843402645957323,0.01482835468394454
2021-06-01,0.015742314635013438,91.0,8281,0.0339,-3.3843402645957323,0.014385059575254577
2021-07-01,0.019034479887897488,92.0,8464,0.0339,-3.3843402645957323,0.015628773635994
2021-08-01,0.01881087787013376,93.0,8649,0.0339,-3.3843402645957323,0.01645484280570263
2021-09-01,0.019848821447729727,94.0,8836,0.0339,-3.3843402645957323,0.017288967756949648
2021-10-01,0.020524808177721215,95.0,9025,0.0339,-3.3843402645957323,0.019122965717291197
2021-11-01,0.019858150488209776,96.0,9216,0.0339,-3.3843402645957323,0.01957305125397034
2021-12-01,0.02175940483348748,97.0,9409,0.0339,-3.3843402645957323,0.019902979070825434
2022-01-01,0.01891634652450589,98.0,9604,0.0339,-3.3843402645957323,0.020824370868595666
2022-02-01,0.02063115326973688,99.0,9801,0.0339,-3.3843402645957323,0.019840912963638768
2022-03-01,0.018608573213204332,100.0,10000,0.0339,-3.3843402645957323,0.020834507416216487
2022-04-01,0.018999644008971212,101.0,10201,0.0339,-3.3843402645957323,0.01919885078991271
2022-05-01,0.016130620373386657,102.0,10404,0.0339,-3.3843402645957323,0.0196713030830913
2022-06-01,0.020302573832448642,103.0,10609,0.0339,-3.3843402645957323,0.017878647030719747
2022-07-01,0.0213861983004436,104.0,10816,0.0465,-3.0683029663888264,0.01901742831918168
2022-08-01,0.018777630950761844,105.0,11025,0.0465,-3.0683029663888264,0.018776670054968487
2022-09-01,0.020774133844401507,106.0,11236,0.0465,-3.0683029663888264,0.019732220784007243
2022-10-01,0.022282569520061152,107.0,11449,0.0465,-3.0683029663888264,0.020698908945290615
2022-11-01,0.015116466675450144,108.0,11664,0.0465,-3.0683029663888264,0.02045057062755584
2022-12-01,0.015713387095714685,109.0,11881,0.0465,-3.0683029663888264,0.018902683116527156
2023-01-01,0.0221827761894667,110.0,12100,0.0465,-3.0683029663888264,0.018771349874055168
