row_index,date
945,2017-04-07
946,2017-04-07
947,2017-04-20
948,2017-05-09
949,2017-05-23
950,2017-05-23
951,2017-05-23
952,2017-05-29
953,2017-05-29
954,2017-05-29
955,2017-05-29
956,2017-06-08
957,2017-07-05
958,2017-07-05
959,2017-07-05
960,2017-07-05
961,2017-07-05
962,2017-07-05
963,2017-07-05
964,2017-07-05
965,2017-07-05
966,2017-07-13
967,2017-07-13
968,2017-07-13
969,2017-07-21
970,2017-07-21
971,2017-07-21
972,2017-07-21
973,2017-07-21
974,2017-07-21
975,2017-07-21
976,2017-07-21
977,2017-07-29
978,2017-08-01
979,2017-08-01
980,2017-08-21
981,2017-08-25
982,2017-08-31
983,2017-08-31
984,2017-08-31
985,2017-08-31
986,2017-09-02
987,2017-09-02
988,2017-09-06
989,2017-09-21
990,2017-09-27
991,2017-10-09
992,2017-10-22
993,2017-10-22
994,2017-10-25
995,2017-10-25
996,2017-11-16
997,2017-11-16
998,2017-11-16
999,2017-11-16
1000,2017-11-16
1001,2017-11-16
1002,2017-11-16
1003,2017-11-29
1004,2018-01-11
1005,2018-01-11
1006,2018-01-16
1007,2018-01-30
1008,2018-01-30
1009,2018-01-30
1010,2018-01-30
1011,2018-01-30
1012,2018-01-30
1013,2018-01-30
1014,2018-01-30
1015,2018-02-05
1016,2018-02-07
1017,2018-02-07
1018,2018-05-07
1019,2018-05-13
1020,2018-05-14
1021,2018-05-14
1022,2018-05-20
1023,2018-05-29
1024,2018-07-17
1025,2018-07-17
1026,2018-07-21
1027,2018-07-25
1028,2018-09-04
1029,2018-09-04
1030,2018-09-04
1031,2018-09-21
1032,2018-12-07
1033,2018-12-07
1034,2018-12-07
1035,2019-01-28
1036,2019-03-08
1037,2019-04-06
1038,2019-04-15
1039,2019-10-29
1040,2019-10-29
1041,2019-10-29
1042,2019-10-29
1043,2019-10-29
1044,2019-10-29
1045,2019-11-30
1046,2019-11-30
1047,2019-11-30
1048,2019-11-30
1049,2019-11-30
1050,2019-11-30
1051,2019-11-30
1052,2019-12-13
1053,2019-12-13
1054,2019-12-13
1055,2019-12-26
1056,2019-12-26
1057,2020-01-14
1058,2020-02-22
1059,2020-02-23
1060,2020-03-15
1061,2020-03-15
1062,2020-05-20
1063,2020-05-20
1064,2020-06-05
1065,2020-08-25
1066,2021-01-03
1067,2021-01-09
1068,2021-02-18
1069,2021-02-18
1070,2021-02-22
1071,2021-02-22
1072,2021-02-22
1073,2021-02-22
1074,2021-02-26
1075,2021-03-10
1076,2021-03-11
1077,2021-03-11
1078,2021-03-13
1079,2021-03-23
1080,2021-03-23
1081,2021-04-11
1082,2021-04-11
1083,2021-04-11
1084,2021-05-12
1085,2021-05-12
1086,2021-05-12
1087,2021-05-12
1088,2021-05-12
1089,2021-05-24
1090,2021-05-26
1091,2021-05-26
1092,2021-07-05
1093,2021-07-05
1094,2021-07-27
1095,2021-07-27
1096,2021-07-27
1097,2021-07-27
1098,2021-07-27
1099,2021-07-27
1100,2021-07-27
1101,2021-07-27
1102,2021-08-29
1103,2021-08-29
1104,2021-09-07
1105,2021-09-07
1106,2021-10-04
1107,2021-10-08
1108,2021-11-06
1109,2021-11-12
1110,2021-11-29
1111,2021-12-01
1112,2021-12-02
1113,2021-12-08
1114,2021-12-12
1115,2021-12-14
1116,2021-12-14
1117,2021-12-14
1118,2021-12-14
1119,2021-12-14
1120,2022-01-04
1121,2022-01-04
1122,2022-01-06
1123,2022-01-18
1124,2022-01-18
1125,2022-01-21
1126,2022-02-19
1127,2022-02-19
1128,2022-02-19
1129,2022-02-25
1130,2022-03-06
1131,2022-03-24
1132,2022-04-20
1133,2022-05-07
1134,2022-05-07
1135,2022-05-16
1136,2022-05-16
1137,2022-05-22
1138,2022-07-16
1139,2022-07-22
1140,2022-07-28
1141,2022-07-31
1142,2022-07-31
1143,2022-08-03
1144,2022-08-03
1145,2022-08-03
1146,2022-08-03
1147,2022-08-03
1148,2022-08-03
1149,2022-08-03
1150,2022-08-03
1151,2022-08-03
1152,2022-08-03
1153,2022-08-03
1154,2022-08-03
1155,2022-08-03
1156,2022-08-03
1157,2022-08-03
1158,2022-08-22
1159,2022-08-22
1160,2022-09-13
1161,2022-10-22
1162,2022-10-22
1163,2022-11-13
1164,2022-11-24
1165,2022-12-05
1166,2022-12-05
1167,2022-12-09
1168,2022-12-09
1169,2023-01-26
1170,2023-02-18
1171,2023-02-18
1172,2023-02-18
1173,2023-02-18
1174,2023-02-18
1175,2023-02-18
1176,2023-02-20
1177,2023-02-20
1178,2023-02-20
1179,2023-02-20
1180,2023-02-20
1181,2023-02-20
1182,2023-02-20
1183,2023-02-20
1184,2023-02-20
1185,2023-03-10
1186,2023-03-10
1187,2023-03-10
1188,2023-03-10
1189,2023-03-10
1190,2023-03-10
1191,2023-03-10
1192,2023-03-14
1193,2023-03-24
1194,2023-03-28
1195,2023-04-26
1196,2023-05-09
1197,2023-05-18
1198,2023-05-20
1199,2023-06-06
1200,2023-06-12
1201,2023-06-12
1202,2023-06-12
