row_index,hardware_name,hardware_index,hardware_price_usd,date,Mhash/s/$,Mhash/J
994,S9,8,,2017-10-25,140000,10182
995,Avalon 741,24,,2017-10-25,730000,6350
1004,S9,8,,2018-01-11,140000,10182
1006,ANTMINER S5,5,0.319,2018-01-16,115500,1957
1015,Avalon 6,22,,2018-02-05,350000,unknown
1016,Antminer S9,8,,2018-02-07,140000,10182
1018,Antminer S9,8,,2018-05-07,140000,10182
1020,Antminer s2,1,,2018-05-14,100000,900
1021,Antminer s1,0,,2018-05-14,180000,500
1023,Antminer S9,8,,2018-05-29,140000,10182
1024,Avalon 741,24,,2018-07-17,730000,6350
1025,Antminer S9,8,,2018-07-17,140000,10182
1027,S9,8,,2018-07-25,140000,10182
1031,Antminer S9,8,,2018-09-21,140000,10182
1032,Antminer S7,7,,2018-12-07,486000,4000
1037,Antminer S9,8,,2019-04-06,140000,10182
1050,Antminer S9,8,,2019-11-30,140000,10182
1059,Avalon 841,24,,2020-02-23,730000,6350
1069,s9,8,,2021-02-18,140000,10182
1072,s9,8,,2021-02-22,140000,10182
1074,S9,8,,2021-02-26,140000,10182
1077,Antminer S9,8,,2021-03-11,140000,10182
1082,Antminer s9,8,,2021-04-11,140000,10182
1088,S9,8,,2021-05-12,140000,10182
1092,s9 asics,8,,2021-07-05,140000,10182
1099,s9,8,,2021-07-27,140000,10182
1110,s9,8,,2021-11-29,140000,10182
1114,Antminer S9,8,,2021-12-12,140000,10182
1115,S9,8,,2021-12-14,140000,10182
1126,Antminer s9,8,,2022-02-19,140000,10182
1133,S9,8,,2022-05-07,140000,10182
1143,741,24,,2022-08-03,730000,6350
1148,A721,23,,2022-08-03,600000,6000
1149,821,26,,2022-08-03,110000,9170
1155,A721,23,,2022-08-03,600000,6000
1160,Antminer U2,10,,2022-09-13,2000,1000
1164,Avalon 821,26,,2022-11-24,110000,9170
1168,S9 13th,8,,2022-12-09,140000,10182
1174,S9,8,,2023-02-18,140000,10182
1176,Antminer S9,8,200,2023-02-20,140000,10182
1179,Antminer S9,8,50,2023-02-20,140000,10182
1196,Antminer S1,0,,2023-05-09,180000,500
1204,Antminer S5,5,,2023-06-24,115500,1957
