row_index,hardware_name,hardware_index,hardware_price_usd,date,Mhash/s/$,Mhash/J
178,ATI cards,-1,,2013-05-30,,
179,Sapphire 7950,137,,2013-05-31,544.25,unknown
180,Block Erupter USB,-1,,2013-06-05,,
181,Butterfly Labs Jalapeno,32,,2013-06-06,60000,250
182,Bitfury-Metabank ASIC 120 Gh/s,-1,5000,2013-06-06,,
183,Klondike,53,,2013-06-06,5200,160
184,KNCMiner,-1,55.09,2013-06-07,,
186,Avalon,20,,2013-06-08,300000,unknown
187,BFL Asic,32,,2013-06-08,60000,250
188,Bitmine,-1,,2013-06-08,,
189,AsicMiner,-1,,2013-06-08,,
190,AVALON CHIPs,20,8.947,2013-06-08,300000,unknown
191,Jupiter KNCMiner,-1,50.085,2013-06-09,,
192,KNCminer Jupiter,-1,239.706,2013-06-10,,
193,Jupiter KNCMiner,-1,52.11,2013-06-10,,
194,K16 miner from 40 EUR,-1,,2013-06-12,,
195,Avalon chips,20,,2013-06-12,300000,unknown
196,KNCminer Jupiter,-1,20.7,2013-06-12,,
198,AVALON CHIPs,20,8.353,2013-06-13,300000,unknown
199,ASICMiner Erupter USB,-1,2.04236,2013-06-13,,
200,ASICMiner Erupter USB,-1,203.95,2013-06-15,,
201,K16 miner from 40 EUR,-1,,2013-06-15,,
202,Avalon chips,-1,,2013-06-15,,
203,Block Erupter USB,-1,,2013-06-16,,
204,Bitfury ASIC,-1,,2013-06-16,,
205,Avalon chips,-1,,2013-06-16,,
206,K16 miner from 40 EUR,-1,,2013-06-16,,
207,Avalon chips,-1,,2013-06-16,,
208,K16 miner from 40 EUR,-1,,2013-06-16,,
209,Terrahash DX,74,105.24,2013-06-19,180000,140
210,BFL 4 GH/s Chips,-1,66.95,2013-06-20,,
211,BFL Single SC Power Brick,-1,,2013-06-22,,
212,Avalon ASIC chips,-1,,2013-06-22,,
213,KNC SATURN,54,,2013-06-23,500000,400
214,BFL 4 GH/s Chips,-1,56.362,2013-06-24,,
215,Spieder 8 Chips,-1,450.893,2013-06-24,,
216,KNCMiner,-1,,2013-06-24,,
217,KNC Miner Saturn,54,395.04,2013-06-26,500000,400
218,Avalon Chip,-1,,2013-06-27,,
219,XFX 6770,124,,2013-06-27,211,unknown
220,Jupiter KNCMiner,54,,2013-06-28,500000,400
221,KNCMiner,-1,,2013-06-29,,
222,ASICMINER USB Block Erupter,-1,,2013-07-01,,
223,KNCMiner,-1,,2013-07-02,,
224,ASICMiner Erupter USB,-1,1.01618,2013-07-02,,
225,BFL asic,-1,,2013-07-03,,
226,AVALON CHIPs,-1,6.511,2013-07-04,,
227,BFL(BitPay),-1,75,2013-07-04,,
229,K16 from 40 EUR,-1,,2013-07-05,,
230,Avalon Chips,-1,5.427,2013-07-05,,
231,Avalon chips,-1,,2013-07-05,,
