month,TH/J,t,t_squared,P_max_t,log_P_max_t,model_value
2014-01-01,0.000606335252173913,34.0,1156,0.001429,-6.550780380034407,0.0007881954624647376
2014-02-01,0.0009185832593023255,35.0,1225,0.001429,-6.550780380034407,0.0008171624989099313
2014-03-01,0.0008381764578947368,36.0,1296,0.001429,-6.550780380034407,0.0007481403627852985
2014-04-01,0.0013434563095652175,37.0,1369,0.002,-6.214608098422191,0.0007756315284060796
2014-05-01,0.0013376339154471547,38.0,1444,0.002,-6.214608098422191,0.000779974059898447
2014-06-01,0.001021047641,39.0,1521,0.002,-6.214608098422191,0.0009555102875559273
2014-07-01,0.0013917725008130081,40.0,1600,0.002,-6.214608098422191,0.001163923815177538
2014-08-01,0.001277667422463768,41.0,1681,0.00316,-5.757183251383316,0.0011886014881642435
2014-09-01,0.0010328677942528736,42.0,1764,0.00316,-5.757183251383316,0.0012675437318272972
2014-10-01,0.0011807840941176469,43.0,1849,0.00535,-5.230658718074222,0.0013168824296046293
2014-11-01,0.0014776808500000002,44.0,1936,0.00535,-5.230658718074222,0.0012425779039762811
2014-12-01,0.0013974955553571428,45.0,2025,0.00535,-5.230658718074222,0.0011765649119158802
2015-01-01,0.0014199248569892473,46.0,2116,0.00535,-5.230658718074222,0.0012455272610247398
2015-02-01,0.0015336147479999998,47.0,2209,0.00535,-5.230658718074222,0.0013202668388685268
2015-03-01,0.0015694560684931507,48.0,2304,0.00535,-5.230658718074222,0.0013765609032014923
2015-04-01,0.001405129992982456,49.0,2401,0.00535,-5.230658718074222,0.0014468058929968217
2015-05-01,0.0013733878145833333,50.0,2500,0.00535,-5.230658718074222,0.0015228699545609535
2015-06-01,0.001510335446969697,51.0,2601,0.00535,-5.230658718074222,0.0015204609087803465
2015-07-01,0.0017306780591549295,52.0,2704,0.00535,-5.230658718074222,0.0014669958682306543
2015-08-01,0.0015154107128571427,53.0,2809,0.00535,-5.230658718074222,0.001446163110554293
2015-09-01,0.0021316419146666667,54.0,2916,0.00535,-5.230658718074222,0.0015362079814656363
2015-10-01,0.0022074574592105263,55.0,3025,0.00714,-4.9420425026306445,0.0015355240105704557
2015-11-01,0.0024573552112068966,56.0,3136,0.00714,-4.9420425026306445,0.0017146922480825982
2015-12-01,0.0024470242010416667,57.0,3249,0.00714,-4.9420425026306445,0.0019289493093921771
2016-01-01,0.0027037761883495146,58.0,3364,0.00714,-4.9420425026306445,0.0021826684152159667
2016-02-01,0.0022906301,59.0,3481,0.00714,-4.9420425026306445,0.002357795341841557
2016-03-01,0.0021572845784313724,60.0,3600,0.00714,-4.9420425026306445,0.0025599830470233336
2016-04-01,0.002356262447272727,61.0,3721,0.00714,-4.9420425026306445,0.002569571357983594
2016-05-01,0.002205320744642857,62.0,3844,0.00714,-4.9420425026306445,0.0024363101626833617
2016-06-01,0.004471015874117647,63.0,3969,0.0102,-4.585367558691911,0.0023632665759544744
2016-07-01,0.005198790619354838,64.0,4096,0.0102,-4.585367558691911,0.0021648434289075376
2016-08-01,0.005799061769230769,65.0,4225,0.0102,-4.585367558691911,0.0027524112581187627
2016-09-01,0.005966359964150943,66.0,4356,0.0102,-4.585367558691911,0.003722089222125594
2016-10-01,0.005169309614285714,67.0,4489,0.0102,-4.585367558691911,0.004762357286257741
2016-11-01,0.005672154191489361,68.0,4624,0.0102,-4.585367558691911,0.005614461527996844
2016-12-01,0.004108430266666667,69.0,4761,0.0102,-4.585367558691911,0.005811302758165237
2017-01-01,0.005184098509722223,70.0,4900,0.0102,-4.585367558691911,0.0059337874469146045
2017-02-01,0.005744581566666667,71.0,5041,0.0102,-4.585367558691911,0.005367398977654457
2017-03-01,0.00612487437368421,72.0,5184,0.0102,-4.585367558691911,0.0050421335359440095
2017-04-01,0.005474824162222222,73.0,5329,0.0102,-4.585367558691911,0.005100823126037104
2017-05-01,0.004469677302777778,74.0,5476,0.0102,-4.585367558691911,0.005474880309883968
2017-06-01,0.004630544903225807,75.0,5625,0.0102,-4.585367558691911,0.00568575990251407
2017-07-01,0.007301752614444444,76.0,5776,0.0102,-4.585367558691911,0.005392249732559083
2017-08-01,0.006384667770370371,77.0,5929,0.0102,-4.585367558691911,0.004893549083025923
2017-09-01,0.006559661255681818,78.0,6084,0.0102,-4.585367558691911,0.005471923331801521
2017-10-01,0.007110211341818181,79.0,6241,0.0102,-4.585367558691911,0.005988110178569354
2017-11-01,0.0038471385142857142,80.0,6400,0.0102,-4.585367558691911,0.0063533002348
2017-12-01,0.0029853369666666667,81.0,6561,0.01021,-4.584387646805562,0.0069118988567024205
2018-01-01,0.0027799508437499998,82.0,6724,0.01021,-4.584387646805562,0.006250195906094333
2018-02-01,0.002587251677777778,83.0,6889,0.01021,-4.584387646805562,0.004976585112261563
2018-03-01,0.0039982602,84.0,7056,0.01021,-4.584387646805562,0.003772342740098864
2018-04-01,0.008501540640000001,85.0,7225,0.01021,-4.584387646805562,0.002824508257915975
2018-05-01,0.005860961153846154,86.0,7396,0.01021,-4.584387646805562,0.002548597847437623
2018-06-01,0.0038948393,87.0,7569,0.01021,-4.584387646805562,0.00440242018940087
2018-07-01,0.005175118116666666,88.0,7744,0.01021,-4.584387646805562,0.00573814763108281
2018-08-01,0.008788697833333333,89.0,7921,0.01021,-4.584387646805562,0.005668383682641584
2018-09-01,0.007230404033333333,90.0,8100,0.01021,-4.584387646805562,0.005297402954336672
2018-10-01,0.00294037378,91.0,8281,0.01021,-4.584387646805562,0.006296720160074003
2018-11-01,0.00485928012,92.0,8464,0.01021,-4.584387646805562,0.00723169990570034
2018-12-01,0.0032407,93.0,8649,0.02,-3.912023005428146,0.006205692689445764
2019-01-01,0.011923565666666665,94.0,8836,0.02,-3.912023005428146,0.005442607224291762
2019-02-01,0.01375291375,95.0,9025,0.02,-3.912023005428146,0.003986625900124831
2019-03-01,0.005227755183333333,96.0,9216,0.02,-3.912023005428146,0.005717441089015415
2019-04-01,0.00948746781,97.0,9409,0.02,-3.912023005428146,0.009369349397343995
2019-05-01,0.01340700634,98.0,9604,0.0253,-3.6769508832486624,0.009415095618303384
2019-06-01,0.0034000000000000002,99.0,9801,0.0253,-3.6769508832486624,0.009250942279600806
2019-07-01,0.0186202686,100.0,10000,0.0253,-3.6769508832486624,0.010985786152984567
2019-08-01,0.013859477536363636,101.0,10201,0.0253,-3.6769508832486624,0.008585867549369621
2019-09-01,0.0103884163,102.0,10404,0.0253,-3.6769508832486624,0.010909031010414868
2019-10-01,0.018476358170000002,103.0,10609,0.0253,-3.6769508832486624,0.01298126264568317
2019-11-01,0.017808594100000002,104.0,10816,0.0253,-3.6769508832486624,0.0126348233184485
2019-12-01,0.01274062345,105.0,11025,0.0253,-3.6769508832486624,0.01432098141634305
2020-01-01,0.018282091,106.0,11236,0.0253,-3.6769508832486624,0.016373052713918715
2020-02-01,0.020293884614285714,107.0,11449,0.0253,-3.6769508832486624,0.015831871566414787
2020-03-01,0.009638928073684211,108.0,11664,0.0253,-3.6769508832486624,0.016251460339789414
2020-05-01,0.017574502528,109.0,11881,0.0339,-3.3843402645957323,0.018232123040730824
2020-06-01,0.015920660966666667,110.0,12100,0.0339,-3.3843402645957323,0.016008544675724025
2020-08-01,0.010473868766666667,111.0,12321,0.0339,-3.3843402645957323,0.01563724038814987
2020-09-01,0.0253164557,112.0,12544,0.0339,-3.3843402645957323,0.015853426613498298
2020-11-01,0.0028964358,113.0,12769,0.0339,-3.3843402645957323,0.013510233945021535
2020-12-01,0.001428,114.0,12996,0.0339,-3.3843402645957323,0.01732965288068043
2021-01-01,0.007734098691666667,115.0,13225,0.0339,-3.3843402645957323,0.014579982686749867
2021-02-01,0.0198779774,116.0,13456,0.0339,-3.3843402645957323,0.009039400979400812
2021-03-01,0.0011646703,117.0,13689,0.0339,-3.3843402645957323,0.005657978584090489
2021-04-01,0.014928090028571428,118.0,13924,0.0339,-3.3843402645957323,0.009586670898042503
2021-05-01,0.014844209116666666,119.0,14161,0.0339,-3.3843402645957323,0.007933345956720707
2021-06-01,0.010553584075,120.0,14400,0.0339,-3.3843402645957323,0.009391241094190119
